Issue ID,Book,Location,Severity,Issue,Proposed correction,Owner,Reviewer,Status
PCL-01,PCL-AI,"domain-11-process-cycles.md — Advanced 11.A.2 ""Fraud typologies in the cycles"" (and Case study ""The SoD breach process mining found (KA 11.3)"")",critical,"The domain teaches fraud detection but supplies no escalation protocol, and the only worked instance models the wrong behaviour. 11.A.2 ends ""Red flags a controls professional escalates:"" followed by a list — but never states to whom (internal audit, compliance, legal, the audit committee), that the suspect and their line management must not be told, that evidence and system logs must be preserved before any enquiry, or that in some jurisdictions suspicion triggers mandatory external reporting (suspicious-activity, bribery, anti-money-laundering) and attracts whistleblower protection. A file-wide search for ""internal audit"", ""audit committee"", ""whistleblow"", ""forensic"" returns nothing. Worse, the case study has the line controls function itself audit the 14 same-user raise-and-approve POs and conclude ""no fraud is found"" — a self-investigation by the function that owns the control, presented as the model response. As written, a candidate following the text could tip off a suspect, contaminate evidence, or breach a reporting duty.","Add a subsection ""What a professional does with a red flag"" to 11.A.2: (1) escalate to the named route — internal audit or compliance, with the audit committee as the ultimate recipient where management may be implicated; (2) do not investigate, confront or notify the individual or their manager (tipping off can be an offence and destroys the evidential position); (3) preserve records, system logs and access rights unchanged before any enquiry; (4) hand the matter to those with the mandate — investigation is a forensic/internal-audit function, not the line controls function; (5) note that mandatory external reporting duties and whistleblower protections exist in some jurisdictions and vary, and legal advice governs. Amend the case study so the 14 POs are referred to internal audit and reviewed under its mandate, with the controls function providing the process-mining evidence rather than reaching the ""no fraud"" conclusion itself.",unassigned,unassigned — Gate 3,Fixed (audit programme)
PCL-02,PCL-AI,"domain-13-ai-for-project-controls.md — Knowledge Area 13.6 ""Governance, ethics, risk & assurance of AI"" (13.6.5c model AI-use policy; also Advanced 13.A.2 Model risk management)",critical,"The AI domain of an AI-named credential contains no external-standard anchor of any kind. A full-file search returns zero occurrences of ISO/IEC 42001, ISO/IEC 23894, the NIST AI RMF, the OECD AI Principles, the EU AI Act, or any data-protection regime. The 25,000-word governance KA, the model AI-use policy (13.6.5c, seven clauses) and Advanced 13.A.2 are entirely self-referential: 13.A.2 says model risk management is ""a discipline long practised in regulated industries and described here generically"" without naming one, and the model policy's scope clause (§1) asserts it ""governs the use of artificial-intelligence tools by all staff, contractors and secondees"" while containing no legal- or regulatory-compliance clause at all. This is materially misleading by omission for candidates in jurisdictions where AI use is now regulated (Regulation (EU) 2024/1689 reached general application on 2 August 2026), and it is inconsistent with the suite: docs/books/registries/EXTERNAL_AUTHORITIES.md records these instruments as relied on by PML-AI, PFL-AI and the law set, and expressly flags that ""PCL-AI (docs/bok/) has no STANDARDS.md at all"".","Add a short ""External anchors"" subsection at the end of KA 13.6 (and a compliance clause to the model policy) naming, with the category wording already fixed in EXTERNAL_AUTHORITIES.md: ISO/IEC 42001:2023 (voluntary international AI management-system standard — certifiable, not law); ISO/IEC 23894:2023 (guidance, not requirements); NIST AI RMF 1.0 (a voluntary, function-based US framework — ""not a standard and not a regulation""); the OECD AI Principles (an OECD Council Recommendation — not binding even on adherents); and Regulation (EU) 2024/1689, the EU AI Act (binding legislation within the EU only, phased application, general application from 2 August 2026). Add to the model policy a new clause: ""Legal and regulatory compliance — AI use must comply with all AI, data-protection, employment and sector regulation applicable in each jurisdiction in which the function operates; where an obligation applies, it overrides this policy."" State expressly that naming these instruments is characterisation, not reproduction, and that only the EU AI Act is legislation.",unassigned,unassigned — Gate 3,Fixed (audit programme)
PFL-01,PFL-AI,"domain-01-foundations.md — Knowledge Area 1.3 → ""1.3.1 Obligations and duties""",critical,"Anti-bribery and corruption, sanctions and market conduct are named once, inside a parenthetical list of ""statutory duties"", and are never operationalised anywhere in Domains 1–8 (a full-corpus grep finds no treatment of bribery, corruption, AML, KYC, sanctions screening, facilitation payments or intermediary due diligence in any of the 16 domains; the PFL-AI external-authorities register likewise contains no anti-bribery, FATF or sanctions authority). This is the highest criminal-liability exposure in the book's own subject matter: infrastructure project development in emerging markets, transacted through local agents, development consultants and JV partners, financed by institutions whose conditions precedent and ongoing covenants routinely include anti-corruption and sanctions representations. KA 1.3 develops conflicts of interest at length (a priced worked example, a case study, a toolkit register) and responsible AI at length, then leaves the one duty whose breach is a criminal offence as a five-word aside. A candidate can pass this Knowledge Area without ever encountering a red flag, a prohibited act, an escalation route or an evidence requirement.","Add a new topic 1.3.2 (renumbering conflicts to 1.3.3, responsible AI to 1.3.4) — ""Financial crime: bribery, sanctions and the money-laundering perimeter"" — built to the same standard as the existing 1.3.2. It must state: (a) the prohibited acts in plain terms, including that a facilitation payment is a bribe in most regimes and that ignorance of an intermediary's conduct is not a defence where a failure-to-prevent offence exists; (b) the red flags that oblige a project finance leader to stop — an agent whose fee is success-based and disproportionate, an intermediary introduced by the counterparty, an unexplained offshore payment route, a request to route a payment to a third jurisdiction, a politically exposed person in the ownership chain; (c) the decision rights and escalation trigger — who may approve engaging an intermediary, who must be told on discovery, that escalation is to compliance/counsel and not to the commercial line, and that the leader may not proceed pending clearance; (d) the evidence that must exist — counterparty and beneficial-ownership due diligence, sanctions screening of sponsors, contractors and their supply chain at close and on change of control, the written intermediary justification, the payment-route record; (e) an accurate external anchor characterised as what it is — the OECD Convention on Combating Bribery of Foreign Public Officials (a treaty implemented differently in each signatory's domestic law, not itself law anywhere), FATF Recommendations (an intergovernmental standard, not legislation), ISO 37001 (a voluntary management-system standard, certification to which is not a legal defence) — with the standing caution that the applicable offence, its extraterritorial reach and any adequate-procedures defence are jurisdiction-specific questions for qualified counsel. Add the corresponding entries to STANDARDS.md and registries/EXTERNAL_AUTHORITIES.md.",unassigned,unassigned — Gate 3,Fixed (audit programme)
PML-01,PML-AI,"domain-01-profession.md — Knowledge Area 1.2 → ""1.2.2 The obligation set"" (and KA 1.4 ""Ethics and the responsible use of AI"")",critical,"The phrase ""conflict of interest"" does not occur anywhere in the PML-AI manuscript set (verified across all 16 domain files, GLOSSARY.md and the appendices — zero hits, as are ""recuse"", ""declare an interest"", and any competence-limit or confidentiality duty). The obligation set names four directions of duty — sponsor/organisation, team, users/customers, public/third parties — and omits the duties a professional owes qua professional: declaring and managing conflicts of interest, working within competence (and declining or escalating work beyond it), and confidentiality. This is not a niche omission: it leaves the gate-approval, steering-decision, option-scoring, supplier-selection and assurance-independence machinery of Domains 2, 3, 5 and 7 with no rule about who may not decide. Domain 3.3.2 identifies ""capture"" (the second line assuring its own plan) as the most damaging assurance failure but supplies no declaration or recusal instrument to prevent it, and Toolkit 3.T.3's decision-record fields do not include a declared-interest field. A body of knowledge underpinning a professional designation that never requires a practitioner to declare an interest is not defensible before an accreditation reviewer.","Add a fifth row to the 1.2.2 obligation table — **Profession / self** | owes: work within competence, confidentiality of entrusted information, declaration of interests, honest representation of credentials | typical conflict: accepting a role or an opinion the leader is not competent or not independent to give — and a short subsection ""1.2.2a Interests, competence and confidentiality"" operationalising it as a four-step duty: **identify** (a standing question at appointment and at each gate), **declare** (in writing, to the chair, before the item is taken), **record** (a declared-interest field added to the decision record of 3.3.4 and to Toolkit 3.T.3), **abstain** (the interested party takes no part in the decision, and the minute records who decided instead). State the two hard rules: an interest that cannot be managed by abstention requires the role to change, not the record to be silent; and a leader may not sign an opinion, estimate or assessment they are not competent to give — the professional act is to obtain the competence or decline. Cross-reference from KA 1.4 (verification signature), 2.2.3 (scoring panels), 3.2.2 (steering membership), 3.3.2 (assurance independence) and 8.3.2 (reserve draw approval). Confidentiality should be stated as a standing duty here, not only as an AI failure mode at 1.4.2.",unassigned,unassigned — Gate 3,Fixed (audit programme)
PML-02,PML-AI,"domain-16-transition-closeout-benefits.md — ""16.1.3 Readiness as a conjunction of conditions"", ""16.1.4 The go-live decision, hypercare and reversion"", ""Toolkit 16.T.1 — Transition readiness certificate""",critical,"The readiness model represents *every* go-live condition as a probability and then trades the resulting conjunction against cost of delay. There is no class of mandatory, non-tradeable precondition. The exemplar is a clinical records go-live at 40 clinics, and its seven conditions contain no clinical-safety condition at all (no safety case, no hazard log, no information-governance or data-protection approval) — while the domain's own Industry variations section, 1,140 lines later, states that ""a clinical safety case and its hazard log must be closed by clinical governance before transition"" and that clinical safety ""is not delegable to a project authority"". 16.1.4 then prices ""go now"" at a 49.79 % clean probability as a live option, and Toolkit 16.T.1 — the signed certificate, the operational artefact a reader will actually adopt — has a single row type: condition, owner, assessed probability pᵢ, evidence. A signed readiness certificate that assigns a probability to a statutory or safety approval is professionally indefensible, and the reviewer's eye (16.A.3) carries no invariant that would catch it. Domains 9 and 14 both carry the equivalent boundary statement in-section (9.1.2 ""the optimum among compliant options""; 14.4.4 ""expected annual loss is the wrong test where the consequence is a statutory penalty, a licence condition, a duty of confidence or harm to a person""); Domain 16 does not, at the one point in the book where the decision is irreversible for users.","Split readiness into two blocks. (1) A **gate block** of binary mandatory preconditions — safety case and hazard log closed, regulatory/licence approval granted, data-protection or privacy assessment signed, statutory notifications made, contractual takeover certificates issued — each recorded met/not-met with the approving authority named, carrying no probability and admitting no economic trade. (2) The probabilistic conjunction ∏pᵢ applied only to the remaining discretionary conditions. In 16.1.3, either add a clinical-safety-case condition to the Meridian set or state explicitly that it sits in the gate block and is therefore not among the seven. In 16.1.4, open the option list with: ""The three options exist only once every mandatory precondition in the gate block is met; where one is not, the only option is hold, and the arithmetic below does not apply."" Add the gate block to Toolkit 16.T.1 above the probability rows, with a signature line for the external approving authority. Add to 16.A.3: ""No mandatory precondition is represented as a probability, and no gate-block item appears in the go/hold economics.""",unassigned,unassigned — Gate 3,Fixed (audit programme)
PCL-03,PCL-AI,"domain-01-foundations-of-accounting.md — ""Why this domain exists"" (systemic: all of domains 01–07, and 00-conventions.md §9–§10)",major,"The PCL-AI Professional Laws (/home/user/PCI/docs/books/laws/PCL_AI_LAWS.md — 20 laws — and PCI_FOUNDATIONAL_LAWS.md — 14 laws) are mandatory conduct rules for the credential, each carrying a Rule, decision owner, required evidence, escalation trigger, prohibited practice, AI restriction and verification requirement, and each naming the BoK domain it anchors to. A grep for ""PCL-LAW"", ""PCI-LAW"" or ""Professional Laws"" across the entire bok/ directory returns zero hits: the linkage is one-directional. The Conventions state ""This Body of Knowledge *is* the credential framework"", so a reader of Domains 1–7 has no way to learn that PCL-LAW-01-01 forbids shifting cost between periods to alter reported performance, that PCL-LAW-05-01 governs change control, that PCL-LAW-06-01 governs earned-value integrity, or that PCL-LAW-07-01 governs commercial traceability — even though those laws are the operative ""what must never be done"" and ""who owns the decision"" content the domains lack.","Add a subsection to 00-conventions.md establishing the Laws as a companion instrument binding on credential holders, with the citation convention (PCL-LAW-DD-NN / PCI-LAW-F-NN); then add a short ""Professional Laws engaged by this domain"" block at the end of each domain (or a line in each ""Domain N summary"") listing the anchored law IDs and titles. For Domains 1–7 the mapping already exists in the laws' own anchoring: D1 → PCL-LAW-01-01/-02; D3 → 03-01/-02/-03; D4 → 04-01/-02; D5 → 05-01; D6 → 06-01; D7 → 07-01; plus the foundational set (F-05 evidence, F-07 honesty, F-09 confidentiality, F-11 escalation, F-12 retention) across all seven.",unassigned,unassigned — Gate 3,Open
PCL-04,PCL-AI,"domain-03-budgeting-forecasting.md — ""3.5.2 Building a project cash-flow forecast — worked"", the *Indirect taxes and withholding in the cash forecast* passage",major,"The passage asserts, without qualification, that VAT/GST and withholding tax ""Neither changes project *cost* (both wash through balance-sheet accounts, Domain 1, KA 1.1)"". Stated as a universal, this is wrong in identifiable and common cases: input VAT that is irrecoverable (partially exempt entities, blocked categories, non-registered branches, some cross-border supplies) is a real, unrecoverable project cost, and withholding tax that cannot be credited or is not grossed up under the contract is a real cost to the paying party. This is the only extended tax passage in Domains 1–7 and it carries no jurisdictional caveat and no direction to specialist advice, in a book that is otherwise careful to caveat (contrast 7.2.3's common-law/civil-law note on penalties). A candidate applying the rule as written would omit a genuine cost line from a funding requirement.","Replace the universal claim with a conditional: recoverable input VAT and creditable withholding are timing-only; IRRECOVERABLE VAT and non-creditable/non-grossed-up withholding are project cost and must be budgeted as such. Add one sentence stating that recoverability, rates, remittance timing and gross-up entitlement are jurisdiction- and contract-specific, that the position must be confirmed with the entity's tax function before the forecast is issued, and that the assumption used must be recorded in the basis of estimate (Toolkit 3.T.1).",unassigned,unassigned — Gate 3,Open
PCL-05,PCL-AI,"domain-05-cost-management.md — ""5.4.3 Assessing cost impact and protecting the baseline"" (and ""5.4.1 Why change control matters"")",major,"Change-control decision rights are asserted but never operationalised, and the domain contradicts itself. 5.4.1 says every change is ""approved or rejected"" without naming any authority. 5.4.3's AI paragraph states ""The professional owns the impact assessment and the approval"" — which is professionally wrong and inconsistent with the domain's own Toolkit 5.T.2, whose ""Approved by"" column correctly shows ""Project board"" for a management-reserve-funded variation and ""PM (within delegation)"" for a contingency draw. The controls professional assesses and recommends; a change authority approves. Nowhere is there a delegated-authority threshold structure (what value or type of change each level may approve), a statement of the minimum evidence a change record must carry before it can be approved, or an escalation trigger for a change that exceeds remaining reserve.","In 5.4.3, replace ""owns the impact assessment and the approval"" with ""owns the impact assessment and the recommendation; the change authority approves"". Add a short paragraph defining the change-authority ladder by value/type (PM within delegation for contingency draws against a registered risk; project board for baseline-changing variations and any management-reserve release; sponsor/client where the contract requires), the minimum change-record evidence (originating instruction or trend, full impact assessment including knock-on and schedule effect, funding source, approver identity and date), and the escalation trigger (a change whose cost exceeds the remaining reserve of its funding source escalates before it is approved, not after). Align the Toolkit 5.T.2 column set to this ladder.",unassigned,unassigned — Gate 3,Open
PCL-06,PCL-AI,"domain-06-evm-eac.md — ""6.3.3 Selecting a method"" and ""The governance conversation (government angle)"" (recurs at domain-04-performance-variance-reporting.md ""4.3.5 The exception report"" and domain-02-financial-reporting.md ""Executive perspective — Domain 2"")",major,"Domains 1–7 repeatedly place personal accountability on the professional — ""the professional owns the assumption"", ""the human signs off"", ""reject the to-budget claim"", ""decision-ready, no spin"" — but never once state what the professional must DO when the accountability is contested. There is no duty to escalate, no named escalation route, no dissent-record requirement, and no ""must never"" list, anywhere in the seven domains. The word ""escalation"" appears in these domains only as cost escalation (inflation) or as threshold-breach routing. D6's governance conversation correctly assigns the decision to the board yet is silent on what happens if the report is edited before it goes up; 6.A.3's watermelon reporting, 4.2.6 margin fade and D2's ""onerous test treated as a year-end formality"" all describe exactly the pressure that triggers the duty, and all stop at diagnosis. For a certification body of knowledge this is the most consequential completeness gap in the seven domains.","Add a short standing passage — one per domain, or a single treatment in Domain 4 cross-referenced from 2, 3, 5, 6 and 7 — covering: the trigger (asked to issue, sign or leave uncorrected a number the professional cannot defend on the evidence); the required act (state the objection in writing with the evidence, before issue); the route (project board → sponsor → the accountable independent function, persisting to the next level if the response is inadequate); the record (what was raised, to whom, when, and the response, retained); and the prohibitions (do not sign, do not permit the analysis to be attributed to you, do not participate in suppression). This is already written as PCI-LAW-F-11 (Duty to Escalate), PCI-LAW-F-07 (Honesty in Reporting and Forecasting) and PCL-LAW-04-02 (Escalation) in /home/user/PCI/docs/books/laws/ — import the substance and cite the law IDs.",unassigned,unassigned — Gate 3,Open
PCL-07,PCL-AI,"domain-06-evm-eac.md — ""Advanced 6.A.2 — EVM lite versus formal EVMS"" (and ""Advanced 6.A.1 — Management reserve and the EVM baseline"")",major,"The EVM flagship domain carries no external-standard anchor anywhere in ~14,700 words. 6.A.2 refers to ""formal system guidelines and criteria, documented procedures, independent surveillance, integrated baseline reviews"" and 6.A.1 to the over-target baseline as something ""large government EVMS programmes"" do — both describing named, published instruments without naming them. Appendix C (Standards & frameworks referenced) contains no EVM entry at all. A candidate finishes Domain 6 unable to say what an EVMS is assessed against, or that EVMS ""compliance"" is a contractual imposition rather than a legal one — precisely the overstatement risk the appendix's category scheme exists to prevent.","Name the anchors at principle level in 6.A.2 and add them to Appendix C with accurate category tags: ANSI/EIA-748 (industry standard, voluntary in itself, made binding by contract on major US government programmes — the source of the guideline-based compliance language and of the OTB/OTS reprogramming discipline in 6.A.1); ISO 21508 (international standard, guidance, not certifiable); and PMI's practice-standard guidance (professional guidance). One sentence must state that none of these is legislation and that their force on any given project comes from the contract.",unassigned,unassigned — Gate 3,Open
